ID,Fwy,Direction,District,CA PM,Abs PM,Lanes,Type,Length,Lat,Lng,Road Width,Lane Width,Inner Shoulder Width,Inner Shoulder Treated Width,Outer Shoulder Width,Outer Shoulder Treated Width,Design Speed Limit,Inner Median Width,Terrain,Population,Barrier,Surface
400464,84,NB,4,10.88,11.056,3,Mainline,0.35,37.258029,-121.962211,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,50 ft,Flat,Urbanized,Three Beam Barrier,Concrete
400688,84,NB,4,11.16,11.336,4,Mainline,0.6,37.259412,-121.966974,48 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,46 ft,Flat,Urbanized,Three Beam Barrier,Concrete
404434,84,NB,4,12.07,12.246,3,Mainline,1.18,37.265521,-121.98154,36 ft,12.0 ft,10 ft,10 ft,10 ft,10 ft,70 mph,46 ft,Flat,Urbanized,Three Beam Barrier,Concrete
400222,85,NB,4,13.52,13.696,3,Mainline,0.93,37.275395,-122.004702,36 ft,12.0 ft,10 ft,10 ft,10 ft,10 ft,70 mph,46 ft,Flat,Urbanized,Three Beam Barrier,Concrete
400952,85,NB,4,13.93,14.106,3,Mainline,0.76,37.279234,-122.01035,36 ft,12.0 ft,10 ft,10 ft,10 ft,10 ft,70 mph,46 ft,Flat,Urbanized,Three Beam Barrier,Concrete
401210,85,NB,4,15.03,15.206,3,Mainline,0.87,37.291198,-122.023391,36 ft,12.0 ft,10 ft,10 ft,10 ft,10 ft,70 mph,46 ft,Flat,Urbanized,Three Beam Barrier,Concrete
400507,85,NB,4,15.67,15.846,3,Mainline,0.52,37.298931,-122.029806,36 ft,12.0 ft,10 ft,10 ft,10 ft,10 ft,70 mph,46 ft,Flat,Urbanized,Three Beam Barrier,Concrete
400185,85,NB,4,16.06,16.236,3,Mainline,0.91,37.303131,-122.034527,36 ft,12.0 ft,10 ft,10 ft,10 ft,10 ft,70 mph,46 ft,Flat,Urbanized,Three Beam Barrier,Concrete
400677,85,NB,4,17.49,17.666,4,Mainline,0.95,37.32001,-122.048757,48 ft,12.0 ft,14 ft,14 ft,10 ft,10 ft,70 mph,26 ft,Flat,Urbanized,Concrete Barrier,Concrete
404435,85,NB,4,17.96,18.136,3,Mainline,0.44,37.326592,-122.050852,60 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,22 ft,Flat,Urbanized,Metal Beam Barrier,Concrete
407344,85,NB,4,R18.36,18.536,3,Mainline,0.3,37.331501,-122.054687,57 ft,19.0 ft,0 ft,0 ft,0 ft,0 ft,70 mph,22 ft,Flat,Urbanized,Metal Beam Barrier,Bridge Deck
407321,85,NB,4,R18.55,18.726,3,Mainline,0.17,37.333648,-122.056851,36 ft,12.0 ft,8 ft,8 ft,13 ft,10 ft,70 mph,22 ft,Flat,Urbanized,Metal Beam Barrier,Concrete
407331,85,NB,4,R18.7,18.876,4,Mainline,0.41,37.335431,-122.058337,36 ft,12.0 ft,8 ft,8 ft,13 ft,10 ft,70 mph,22 ft,Flat,Urbanized,Metal Beam Barrier,Concrete
407341,85,NB,4,R19.36,19.536,3,Mainline,0.57,37.344713,-122.059766,36 ft,12.0 ft,5 ft,5 ft,10 ft,10 ft,70 mph,22 ft,Flat,Urbanized,Metal Beam Barrier,Concrete
407339,85,NB,4,R19.83,20.006,3,Mainline,0.29,37.351571,-122.060285,36 ft,12.0 ft,10 ft,10 ft,8 ft,8 ft,70 mph,22 ft,Flat,Urbanized,Concrete Barrier,Concrete
407337,85,NB,4,R19.94,20.116,3,Mainline,0.19,37.353092,-122.0609,36 ft,12.0 ft,10 ft,10 ft,8 ft,8 ft,70 mph,22 ft,Flat,Urbanized,Concrete Barrier,Bridge Deck
402060,85,NB,4,20.2,20.376,3,Mainline,0.36,37.356655,-122.062397,36 ft,12.0 ft,10 ft,10 ft,8 ft,8 ft,70 mph,22 ft,Flat,Urbanized,Concrete Barrier,Bridge Deck
407336,85,NB,4,R20.65,20.826,3,Mainline,0.6,37.363146,-122.062707,36 ft,12.0 ft,10 ft,10 ft,8 ft,8 ft,70 mph,22 ft,Flat,Urbanized,Concrete Barrier,Bridge Deck
407335,85,NB,4,R21.4,21.576,3,Mainline,0.52,37.373213,-122.067368,36 ft,12.0 ft,10 ft,10 ft,8 ft,8 ft,70 mph,22 ft,Flat,Urbanized,Concrete Barrier,Bridge Deck
407328,85,NB,4,R21.68,21.856,3,Mainline,0.21,37.377217,-122.067542,36 ft,12.0 ft,10 ft,10 ft,8 ft,8 ft,70 mph,22 ft,Flat,Urbanized,Concrete Barrier,Bridge Deck
407342,85,NB,4,R21.81,21.986,3,Mainline,0.23,37.379094,-122.067604,36 ft,12.0 ft,10 ft,10 ft,8 ft,8 ft,70 mph,22 ft,Flat,Urbanized,Concrete Barrier,Bridge Deck
407325,85,NB,4,R22.13,22.306,3,Mainline,0.6,37.383707,-122.068108,24 ft,12.0 ft,10 ft,10 ft,8 ft,8 ft,70 mph,22 ft,Flat,Urbanized,Concrete Barrier,Concrete
407323,85,NB,4,R23.01,23.186,3,Mainline,0.68,37.396419,-122.068661,24 ft,12.0 ft,5 ft,5 ft,8 ft,8 ft,70 mph,46 ft,Flat,Urbanized,Cable Barriers,Concrete
400174,85,NB,4,23.48,23.656,3,Mainline,0.81,37.403686,-122.06976,24 ft,12.0 ft,10 ft,10 ft,8 ft,8 ft,70 mph,22 ft,Flat,Urbanized,Concrete Barrier,Bridge Deck
404442,85,SB,4,.1,0.1,1,Mainline,0.16,37.241444,-121.769405,24 ft,12.0 ft,8 ft,8 ft,15 ft,15 ft,70 mph,99 ft,Flat,Urbanized,No Barriers,"Base & Surface >= 7"" Thick"
404448,85,SB,4,.22,0.22,3,Mainline,0.82,37.241502,-121.772811,24 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,46 ft,Flat,Urbanized,Three Beam Barrier,"Base & Surface >= 7"" Thick"
400963,85,SB,4,1.74,1.74,3,Mainline,0.89,37.241254,-121.798377,36 ft,12.0 ft,8 ft,8 ft,8 ft,8 ft,70 mph,69 ft,Flat,Urbanized,"Conc. Barrier, Both Ways Inside Both Shoulders ","Base & Surface >= 7"" Thick"
400894,85,SB,4,2,2,3,Mainline,1.03,37.242723,-121.804466,36 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,69 ft,Flat,Urbanized,"Conc. Barrier, Both Ways Inside Both Shoulders ","Base & Surface >= 7"" Thick"
400577,85,SB,4,3.8,3.8,4,Mainline,1.02,37.249661,-121.835108,36 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,69 ft,Flat,Urbanized,"Conc. Barrier, Both Ways Inside Both Shoulders ","Base & Surface >= 7"" Thick"
400754,85,SB,4,4.04,4.04,3,Mainline,0.54,37.25151,-121.838854,36 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,69 ft,Flat,Urbanized,"Conc. Barrier, Both Ways Inside Both Shoulders ","Base & Surface >= 7"" Thick"
400519,85,SB,4,4.87,4.87,3,Mainline,0.51,37.255257,-121.85256,36 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,69 ft,Flat,Urbanized,"Conc. Barrier, Both Ways Inside Both Shoulders ","Base & Surface >= 7"" Thick"
400637,85,SB,4,5.05,5.05,3,Mainline,0.18,37.255322,-121.855765,36 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,69 ft,Flat,Urbanized,"Conc. Barrier, Both Ways Inside Both Shoulders ","Base & Surface >= 7"" Thick"
401495,85,SB,4,5.23,5.23,4,Mainline,0.53,37.255346,-121.85898,36 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,69 ft,Flat,Urbanized,No Barriers,Bridge Deck
400085,85,SB,4,6.1,6.1,3,Mainline,0.5,37.255594,-121.87471,48 ft,12.0 ft,13 ft,8 ft,10 ft,10 ft,70 mph,70 ft,Flat,Urbanized,Three Beam Barrier,"Base & Surface >= 7"" Thick"
400690,85,SB,4,6.22,6.22,3,Mainline,0.94,37.255184,-121.876817,36 ft,12.0 ft,13 ft,8 ft,10 ft,10 ft,70 mph,70 ft,Flat,Urbanized,Three Beam Barrier,"Base & Surface >= 7"" Thick"
400059,85,SB,4,7.97,7.97,3,Mainline,1.01,37.250481,-121.907735,36 ft,12.0 ft,14 ft,14 ft,13 ft,13 ft,70 mph,70 ft,Flat,Urbanized,Three Beam Barrier,Concrete
