FID,X1,Y1,X2,Y2,Ind,coordinate,edgeInd,Route,Direction,HwyId,distance,joinCount,joinCoun_1,joinCoun_2,joinCoun_3,joinCoun_4,joinCoun_0,center_X,center_Y
"1,752","-173,171.595374000000000","-64,580.613383999997000","-172,671.716079000010000","-64,574.735438000003000","1,752.000000000000000","[[-173171.595374, -64580.613384, 0, 0], [-173121.1","1,828.000000000000000",237.000000000000000,W,116.000000000000000,500.000000230000010,4.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,2,"-172,921.711627000010000","-64,573.587102400001000"
"1,753","-172,525.231873999990000","-64,577.980384000002000","-172,025.453733000000000","-64,591.927279000003000","1,753.000000000000000","[[-172525.231874, -64577.980384, 0, 0], [-172431.6","1,750.000000000000000",237.000000000000000,W,91.000000000000000,500.000000390000030,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-172,275.341989999990000","-64,584.678064799999000"
"1,754","-172,025.453733000000000","-64,591.927279000003000","-171,533.385274000000000","-64,532.084670999997000","1,754.000000000000000","[[-172025.453733, -64591.927279, 0, 0], [-171893.1","1,754.000000000000000",237.000000000000000,W,91.000000000000000,499.999999409999990,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-171,775.854794999990000","-64,592.692089199998000"
"1,755","-171,533.385274000000000","-64,532.084670999997000","-171,050.172777000000000","-64,403.677030999999000","1,755.000000000000000","[[-171533.385274, -64532.084671, 0, 0], [-171512.6","1,751.000000000000000",237.000000000000000,W,91.000000000000000,500.000000430000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-171,291.796463000010000","-64,467.848565799999000"
"1,756","-171,050.172777000000000","-64,403.677030999999000","-170,563.386275000000000","-64,291.415072999996000","1,756.000000000000000","[[-171050.172777, -64403.677031, 0, 0], [-170751.2","1,752.000000000000000",237.000000000000000,W,91.000000000000000,499.999999979999980,6.000000000000000,0.000000000000000,0.000000000000000,4.000000000000000,2.000000000000000,0,"-170,808.540378000010000","-64,339.538245199998000"
"1,757","-170,563.386275000000000","-64,291.415072999996000","-170,069.328065999990000","-64,221.783326999997000","1,757.000000000000000","[[-170563.386275, -64291.415073, 0, 0], [-170535.2","1,753.000000000000000",237.000000000000000,W,91.000000000000000,499.999999870000010,12.000000000000000,2.000000000000000,1.000000000000000,3.000000000000000,4.000000000000000,2,"-170,314.926425000010000","-64,264.325975899999000"
"1,758","-170,069.328065999990000","-64,221.783326999997000","-170,036.363274000000000","-64,212.745984000001000","1,758.000000000000000","[[-170069.328066, -64221.783327, 0, 0], [-170036.3","1,755.000000000000000",237.000000000000000,W,91.000000000000000,34.181150950000003,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-170,052.845670000010000","-64,217.264655500003000"
"1,759","-183,370.428874000000000","-51,578.633084000001000","-182,925.593641000010000","-51,351.528484000002000","1,759.000000000000000","[[-183370.428874, -51578.633084, 0, 0], [-183316.9","1,756.000000000000000",84.000000000000000,W,92.000000000000000,500.000000290000000,4.000000000000000,2.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1,"-183,144.513853999990000","-51,472.233686100000000"
"1,760","-182,925.593641000010000","-51,351.528484000002000","-182,542.770121000010000","-51,031.066862000000000","1,760.000000000000000","[[-182925.593641, -51351.528484, 0, 0], [-182920.5","1,758.000000000000000",84.000000000000000,W,92.000000000000000,499.999999950000020,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-182,728.001632000000000","-51,198.963360900001000"
"1,761","-182,171.991669999990000","-50,695.696065999997000","-181,802.167825999990000","-50,359.203132000002000","1,761.000000000000000","[[-182171.99167, -50695.696066, 0, 0], [-182102.29","1,757.000000000000000",84.000000000000000,W,92.000000000000000,500.000000000000000,5.000000000000000,2.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,0,"-181,987.084154999990000","-50,527.444045900003000"
